APOA5	NM_001166598
APOB	NM_000384
APOBEC1	NM_001644
APOBEC2	NM_006789
APOBEC3A	NM_001270406
APOBEC3B	NM_004900
APOBEC3B-AS1	NR_104187
APOBEC3C	NM_014508
APOBEC3D	NM_152426
APOBEC3F	NM_145298
APOBEC3G	NM_021822
APOBEC3H	NM_001166003
APOBEC4	NM_203454
APOBR	NM_018690
APOC1	NM_001645
APOC1P1	NR_028412
APOC2	NM_000483
APOC3	NM_000040
APOC4	NM_001646
APOC4-APOC2	NR_037932
APOD	NM_001647
APOE	NM_000041
APOF	NM_001638
APOH	NM_000042
APOL1	NM_001136540
APOL2	NM_145637
APOL3	NM_145640
APOL4	NM_145660
APOL5	NM_030642
APOL6	NM_030641
APOLD1	NM_001130415
APOM	NM_019101
APOO	NM_024122
APOOL	NM_198450
APOOP5	NR_028471
APOPT1	NM_001302652
APP	NM_000484
APPBP2	NM_006380
APPL1	NM_012096
APPL2	NM_001251904
APRT	NM_000485
APTR	NR_038361
APTX	NM_001195248
AQP1	NM_001329872
AQP10	NM_080429
AQP11	NM_173039
AQP12A	NM_198998
AQP12B	NM_001102467
AQP2	NM_000486
AQP3	NM_004925
AQP4	NM_001650
AQP4-AS1	NR_026908
AQP5	NM_001651
AQP6	NM_001652
AQP7	NM_001170
AQP7P1	NR_002817
AQP7P3	NR_026558
AQP8	NM_001169
AQP9	NM_020980
AQR	NM_014691
AR	NM_000044
ARAF	NM_001654
ARAP1	NM_001040118
ARAP2	NM_015230
ARAP3	NM_022481
ARC	NM_015193
ARCN1	NM_001655
AREG	NM_001657
AREL1	NM_001039479
ARF1	NM_001024226
ARF3	NM_001659
ARF4	NM_001660
ARF4-AS1	NR_132369
ARF5	NM_001662
ARF6	NM_001663
ARFGAP1	NM_175609
ARFGAP2	NM_032389
ARFGAP3	NM_014570
ARFGEF1	NM_006421
ARFGEF2	NM_006420
ARFGEF3	NM_020340
ARFIP1	NM_001025595
ARFIP2	NM_001242854
ARFRP1	NM_001267548
ARG1	NM_000045
ARG2	NM_001172
ARGFX	NM_001012659
ARGFXP2	NR_002222
ARGLU1	NM_018011
ARHGAP1	NM_004308
ARHGAP10	NM_024605
ARHGAP11A	NM_014783
ARHGAP11B	NM_001039841
ARHGAP12	NM_018287
ARHGAP15	NM_018460
ARHGAP17	NM_001006634
ARHGAP18	NM_033515
ARHGAP19	NM_032900
ARHGAP19-SLIT1	NR_037909
ARHGAP20	NM_020809
ARHGAP21	NM_020824
ARHGAP22	NM_001256025
ARHGAP23	NM_001199417
ARHGAP24	NM_001025616
ARHGAP25	NM_001007231
ARHGAP26	NM_015071
ARHGAP26-AS1	NR_046680
ARHGAP26-IT1	NR_046816
ARHGAP27	NM_174919
ARHGAP27P1	NR_027487
ARHGAP27P1-BPTFP1-KPNA2P3	NR_026899
ARHGAP28	NM_001010000
ARHGAP29	NM_004815
ARHGAP30	NM_001025598
ARHGAP31	NM_020754
ARHGAP31-AS1	NR_046748
ARHGAP32	NM_001142685
ARHGAP33	NM_052948
ARHGAP35	NM_004491
ARHGAP36	NM_144967
ARHGAP39	NM_025251
ARHGAP4	NM_001666
ARHGAP40	NM_001164431
ARHGAP42	NM_152432
ARHGAP44	NM_014859
ARHGAP45	NM_001258328
ARHGAP5	NM_001030055
ARHGAP5-AS1	NR_027263
ARHGAP6	NM_013427
ARHGAP8	NM_001017526
ARHGAP9	NM_032496
ARHGDIA	NM_004309
ARHGDIB	NM_001175
ARHGDIG	NM_001176
ARHGEF1	NM_199002
ARHGEF10	NM_014629
